smiles_i,smiles_j,diff
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1cc2[nH]cc(C#N)c(=Nc3ccc(Br)cc3Cl)c2cc1OC,-1.12493896484375
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1cc2[nH]cc(C#N)c(=Nc3ccc(Cl)cc3Br)c2cc1OC,-1.301030158996582
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1cc2[nH]cc(C#N)c(=Nc3ccc(Cl)cc3I)c2cc1OC,-1.5086383819580078
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1cc(N=c2c(C#N)c[nH]c3cc(OC)c(OC)cc23)c(Br)cc1Cl,-1.823908805847168
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1ccc(Cl)c(N=c2c(C#N)c[nH]c3cc(OC)c(OC)cc23)c1,-1.301030158996582
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,CCOc1cc2[nH]cc(C#N)c(=Nc3ccc(Cl)cc3Cl)c2cc1OCC,-1.2596373558044434
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COCCOc1cc2[nH]cc(C#N)c(=Nc3ccc(Cl)cc3Cl)c2cc1OC,-1.628931999206543
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1cc(N=c2c(C#N)c[nH]c3cc(OC)c(OC)cc23)c(Cl)cc1C,-1.838632583618164
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1cc(N=c2c(C#N)c[nH]c3cc(OC)c(OC)cc23)c(C)cc1Cl,1.07918119430542
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COCCOc1cc2[nH]cc(C#N)c(=Nc3cc(OC)c(Cl)cc3Cl)c2cc1OC,-2.12493896484375
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1cc(N=c2c(C#N)c[nH]c3cc(OC)c(OC)cc23)c(C)cc1C,-1.6382722854614258
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1cc(N=c2c(C#N)c[nH]c3cc(/C=C/n4ccnc4)ccc23)c(Cl)cc1Cl,-1.4814863204956055
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COCCOc1cc2[nH]cc(C#N)c(=Nc3ccc(Cl)cc3Cl)c2cc1OCCOC,-1.221848964691162
COc1ccc2c(=Nc3ccc(Cl)cc3Cl)c(C#N)c[nH]c2c1,COc1cc(N=c2c(C#N)c[nH]c3cc(/C=C/n4ccnc4)c(OC)cc23)c(Cl)cc1Cl,-2.0
